flightNumber;plane;dep_date;dep_time;dep_airport_name;dep_airport_code;dep_weather_min;dep_weather_max;dep_weather_desc;dep_door;arr_date;arr_time;arr_airport_name;arr_weather_min;arr_weather_max;arr_weather_desc;arr_belt;new_dep_status;new_arr_status;time_difference;time_difference_minutes;delayed
RYR2084; BOEING 737-800 WINGLETS;13/04/18;20:15;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros;D54;13/04/18;21:35;IBIZA;13;17;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:17:00;77;1
AEA1712; ATR-72;13/04/18;21:15;PALMA DE MALLORCA;PMI;12;17;Lluvia moderada;B32;13/04/18;21:55;IBIZA;13;17;Chubascos dispersos;2;Despego;Aterrizo;0 days 00:35:00;35;0
RYR7209; BOEING 737-800 WINGLETS;13/04/18;21:15;VALENCIA;VLC;11;21;Nubosidad variable;C11;13/04/18;22:00;IBIZA;13;17;Chubascos dispersos;4;Despego;Aterrizo;0 days 00:42:00;42;0
VLG3546; 32A;13/04/18;21:05;BARCELONA-EL PRAT;BCN;12;17;Lluvia débil;B40;13/04/18;22:05;IBIZA;13;17;Chubascos dispersos;6;Despego;Aterrizo;0 days 00:47:00;47;1
VLG3417; AIRBUS A320;13/04/18;21:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros;J50;13/04/18;22:15;IBIZA;13;17;Chubascos dispersos;3;Despego;Aterrizo;0 days 01:11:00;71;1
RYR8141; BOEING 737-800 WINGLETS;13/04/18;21:20;BARCELONA-EL PRAT;BCN;12;17;Lluvia débil;U41;13/04/18;22:30;IBIZA;13;17;Chubascos dispersos;6;Despego;Aterrizo;0 days 00:53:00;53;1
IBE8954; BOMBARDIER CRJ-1000;13/04/18;20:20;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros;K88;13/04/18;21:50;MENORCA;12;17;Lluvia moderada;4;Despego;Aterrizo;0 days 01:28:00;88;1
AEA9420; ATR-72;13/04/18;18:30;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4C;13/04/18;19:00;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;11;Despego;Aterrizo;0 days 00:53:00;53;1
IBB227; BOMBARDIER CRJ-1000;13/04/18;19:00;FUERTEVENTURA;FUE;16;22;Cubierto de nubes altas y medias;6;13/04/18;19:40;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;13;Despego;Aterrizo;0 days 00:47:00;47;1
IBB528; BOMBARDIER CRJ-1000;13/04/18;19:30;LANZAROTE;ACE;17;22;Cubierto de nubes altas y medias;P2;13/04/18;20:15;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;11;Despego;Aterrizo;0 days 00:37:00;37;1
IBB312; ATR-42/72;13/04/18;19:40;LA PALMA;SPC;16;21;Cubierto de nubes altas y medias;4;13/04/18;20:25;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;12;Despego;Aterrizo;0 days 00:48:00;48;0
IBB188; ATR-42/72;13/04/18;20:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4;13/04/18;20:30;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;13;Despego;Aterrizo;0 days 00:33:00;33;1
CNF766; ATR-42/72;13/04/18;19:50;LANZAROTE;ACE;17;22;Cubierto de nubes altas y medias;P1;13/04/18;20:35;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;13;Despego;Aterrizo;0 days 00:41:00;41;0
IBB533; ATR-42/72;13/04/18;20:00;LANZAROTE;ACE;17;22;Cubierto de nubes altas y medias;P4;13/04/18;20:45;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;11;Despego;Aterrizo;0 days 00:40:00;40;0
AEA9172; BOEING 737-800 WINGLETS;13/04/18;20:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros;D60;13/04/18;21:55;GRAN CANARIA;16;21;Cubierto de nubes altas y medias;15;Despego;Aterrizo;0 days 01:37:00;97;0
VLG2119; AIRBUS A320;13/04/18;19:15;BARCELONA-EL PRAT;BCN;12;17;Lluvia débil;B55;13/04/18;20:55;MALAGA-COSTA DEL SOL;8;16;Nubosidad variable;36;Despego;Aterrizo;0 days 01:39:00;99;1
RYR3080; BOEING 737-800 WINGLETS;13/04/18;20:00;BARCELONA-EL PRAT;BCN;12;17;Lluvia débil;R14;13/04/18;21:50;MALAGA-COSTA DEL SOL;8;16;Nubosidad variable;39;Despego;Aterrizo;0 days 01:39:00;99;0
VLG1900; AIRBUS A320;13/04/18;19:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros;J52;13/04/18;20:20;BARCELONA-EL PRAT;12;17;Lluvia débil;15;Despego;Aterrizo;0 days 01:14:00;74;1
VLG3911; 32B;13/04/18;19:40;PALMA DE MALLORCA;PMI;12;17;Lluvia moderada;D84;13/04/18;20:35;BARCELONA-EL PRAT;12;17;Lluvia débil;3;Despego;Aterrizo;0 days 00:48:00;48;1
VLG2112; 32A;13/04/18;19:20;MALAGA-COSTA DEL SOL;AGP;8;16;Nubosidad variable;D52;13/04/18;20:55;BARCELONA-EL PRAT;12;17;Lluvia débil;8;Despego;Aterrizo;0 days 01:20:00;80;1
VLG2215; BOEING 737-800 WINGLETS;13/04/18;19:20;SEVILLA;SVQ;8;17;Abertura de claros;3;13/04/18;20:55;BARCELONA-EL PRAT;12;17;Lluvia débil;8;Despego;Aterrizo;0 days 01:31:00;91;1
RYR6399; BOEING 737-800 WINGLETS;13/04/18;19:20;SEVILLA;SVQ;8;17;Abertura de claros; - ;13/04/18;21:00;BARCELONA-EL PRAT;12;17;Lluvia débil;21;Despego;Aterrizo;0 days 01:28:00;88;1
AEA6102; BOEING 737-800 WINGLETS;13/04/18;20:20;PALMA DE MALLORCA;PMI;12;17;Lluvia moderada;D80;13/04/18;21:05;BARCELONA-EL PRAT;12;17;Lluvia débil;1;Despego;Aterrizo;0 days 00:53:00;53;1
IBB536; ATR-72;13/04/18;19:30;GRAN CANARIA;LPA;16;21;Cubierto de nubes altas y medias;A05;13/04/18;20:15;LANZAROTE;17;22;Cubierto de nubes altas y medias;C1;Despego;Aterrizo;0 days 00:42:00;42;1
AEA9445; ATR-72;13/04/18;19:40;GRAN CANARIA;LPA;16;21;Cubierto de nubes altas y medias;A15;13/04/18;20:25;LANZAROTE;17;22;Cubierto de nubes altas y medias;C2;Despego;Aterrizo;0 days 00:46:00;46;1
IBB228; ATR-72;13/04/18;19:15;GRAN CANARIA;LPA;16;21;Cubierto de nubes altas y medias;A07;13/04/18;19:55;FUERTEVENTURA;16;22;Cubierto de nubes altas y medias;14;Despego;Aterrizo;0 days 00:38:00;38;1
IBB627; ATR-42/72;13/04/18;20:00;TENERIFE NORTE;TFN;17;22;Nubosidad variable;3;13/04/18;20:30;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:30:00;30;1
IBB641; ATR-42/72;13/04/18;20:10;TENERIFE NORTE;TFN;17;22;Nubosidad variable;4B;13/04/18;20:40;LA PALMA;16;21;Cubierto de nubes altas y medias;4;Despego;Aterrizo;0 days 00:32:00;32;1
IBE8526; BOMBARDIER CRJ-1000;13/04/18;22:15;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;6;14;Abertura de claros; - ;13/04/18;23:10;PAMPLONA;5;15;Chubascos dispersos; - ;Despego;Aterrizo;0 days 01:00:00;60;0
