id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
908377362091285210,Entire Apartment with office Ocean&Mountain views,518678816,Chen,,Hastings-Sunrise,49.28898,-123.02516,Entire home/apt,121,1,44,2024-10-13,2.54,1,20,23,23-232823
908695832873449860,"Bright, Clean & Gorgeous Mount Pleasant Condo",29905110,Pablo,,Mount Pleasant,49.26484147406989,-123.08533768406225,Entire home/apt,130,30,1,2023-07-18,0.06,1,187,0,
908712582837140154,Cozy 2-Bedroom Home in Vancouver,517357721,Zike,,Shaughnessy,49.23453,-123.14563,Private room,999,30,0,,,1,365,0,23-233227
908898373482967856,Charming and bright Vancouver- fast Wi-Fi! 2BD 2BA,170977659,Jessica,,Killarney,49.2243531307659,-123.04510248527212,Entire home/apt,75,2,54,2024-09-22,3.12,1,137,30,24-159724
908965846012076156,Modern & Cozy Apartment w/ Parking,81025684,Paige,,Downtown,49.27961029999999,-123.1240422,Entire home/apt,229,2,73,2024-08-16,4.47,1,27,48,24-159722
909578425542231309,Pvt. Rooftop Patio/Pool/Sauna/Hot tub/Gym/Sleep 5!,287607431,Elliot,,Downtown,49.27496,-123.12795,Entire home/apt,399,3,4,2024-11-03,0.31,3,146,3,24-177354
909595266500153260,Quilchena Garden,62807079,Andrea,,Shaughnessy,49.2388636729292,-123.15005595185649,Entire home/apt,,1,26,2024-08-20,1.58,1,0,8,23-234815
909717940030012123,"Luxury 3BD apartment, Downtown",516601485,Shawn,,Downtown Eastside,49.2785415653356,-123.10109766490287,Entire home/apt,184,2,52,2024-09-15,3.08,1,23,32,24-159628
909770852083837638,Near Station Conveniently Located Private Room - 4,213394226,Matthew,,Renfrew-Collingwood,49.25490660569815,-123.03276235523025,Private room,,90,7,2024-10-31,0.44,6,30,5,
909779914824725354,Cozy 1Bdrm Condo in historic Gastown,519018509,Corina,,Downtown Eastside,49.2818215,-123.1041773,Entire home/apt,214,1,61,2024-09-28,3.70,1,38,37,24-159586
